                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.2615,                 1.2268,                 1.4227,                0.69982,                 0.5499,                0.62101,                0.34834,                 1.6936,                 1.4134,                 1.8924,             0.00082925,             0.00082925,             0.00082925
                     70,                 1.2614,                 1.1859,                 1.4118,                0.53323,                0.59067,                0.57779,                0.30793,                 1.7859,                 1.5608,                 2.0141,             0.00082306,             0.00082306,             0.00082306
                     71,                 1.2208,                 1.1511,                 1.3869,                0.62663,                0.63105,                0.63795,                0.34171,                  1.725,                 1.4736,                 1.9541,             0.00081688,             0.00081688,             0.00081688
                     72,                  1.226,                 1.1589,                 1.3915,                0.56298,                0.59241,                0.59539,                 0.3255,                 1.7549,                 1.5637,                 1.9765,             0.00081069,             0.00081069,             0.00081069
                     73,                 1.2178,                 1.1372,                 1.3653,                0.65337,                0.56963,                0.60683,                0.32258,                 1.8244,                 1.5252,                 2.0358,              0.0008045,              0.0008045,              0.0008045
                     74,                 1.2395,                 1.1622,                 1.4029,                0.59281,                0.62741,                0.62079,                0.34212,                 1.7039,                 1.4391,                 1.9584,             0.00079831,             0.00079831,             0.00079831
                     75,                 1.2141,                 1.1484,                 1.3788,                0.71825,                0.52641,                0.61781,                0.34739,                 1.6806,                 1.4053,                 1.9103,             0.00079213,             0.00079213,             0.00079213
                     76,                 1.1337,                 1.0256,                 1.3232,                 0.7365,                 0.5347,                0.63719,                  0.364,                 1.6346,                 1.4189,                  1.849,             0.00078594,             0.00078594,             0.00078594
                     77,                 1.1703,                 1.0558,                 1.3379,                0.66133,                0.60326,                 0.6501,                0.36075,                 1.6674,                 1.3864,                 1.9289,             0.00077975,             0.00077975,             0.00077975
                     78,                 1.1617,                 1.0504,                  1.333,                0.70452,                0.59477,                0.65913,                0.37127,                 1.7027,                 1.4049,                 1.9466,             0.00077356,             0.00077356,             0.00077356
                     79,                  1.149,                 1.0229,                 1.3358,                0.65688,                 0.6313,                 0.6668,                0.37165,                 1.6577,                 1.4721,                 1.9016,             0.00076738,             0.00076738,             0.00076738
                     80,                 1.1632,                 1.0215,                 1.3303,                0.68855,                 0.5905,                0.65473,                0.37048,                 1.6645,                 1.4454,                 1.8906,             0.00076119,             0.00076119,             0.00076119
                     81,                 1.1194,                0.98625,                 1.3203,                0.66656,                0.63244,                0.66018,                0.38014,                 1.6439,                 1.4759,                 1.9115,               0.000755,               0.000755,               0.000755
                     82,                 1.1548,                 1.0394,                 1.3174,                0.75025,                 0.5842,                0.66088,                0.37996,                 1.6743,                 1.3604,                 1.8957,             0.00074881,             0.00074881,             0.00074881
                     83,                 1.1509,                0.99525,                 1.3213,                0.76339,                0.54114,                0.64413,                0.36542,                 1.6623,                 1.3892,                 1.8882,             0.00074263,             0.00074263,             0.00074263
                     84,                 1.1435,                0.98467,                 1.3206,                 0.7241,                0.58782,                0.67079,                0.38319,                 1.6156,                 1.3862,                   1.86,             0.00073644,             0.00073644,             0.00073644
                     85,                 1.0995,                 0.9576,                 1.2885,                0.76943,                0.57529,                0.67536,                 0.3912,                 1.6597,                 1.2956,                 1.9482,             0.00073025,             0.00073025,             0.00073025
                     86,                 1.1087,                0.97483,                 1.2979,                0.68489,                0.58925,                0.64507,                0.35881,                 1.6813,                 1.3964,                 1.9509,             0.00072406,             0.00072406,             0.00072406
                     87,                 1.1532,                 1.0068,                 1.3258,                0.68964,                0.61907,                0.69585,                0.39446,                 1.6708,                 1.3255,                 1.9401,             0.00071788,             0.00071788,             0.00071788
                     88,                 1.1138,                0.96338,                 1.3071,                0.72776,                0.58926,                0.67299,                0.38796,                 1.6322,                 1.3519,                 1.8574,             0.00071169,             0.00071169,             0.00071169
                     89,                 1.1407,                0.97845,                  1.311,                0.73649,                0.57856,                0.66483,                0.38689,                 1.6094,                 1.3811,                 1.8486,              0.0007055,              0.0007055,              0.0007055
                     90,                 1.0808,                0.93048,                 1.2704,                0.67233,                0.62092,                0.69318,                0.42357,                 1.5283,                 1.2791,                 1.7781,             0.00069931,             0.00069931,             0.00069931
                     91,                 1.0541,                0.88871,                 1.2634,                0.70427,                0.62437,                0.67837,                0.39584,                 1.6359,                 1.3416,                 1.8605,             0.00069313,             0.00069313,             0.00069313
                     92,                 1.0508,                0.92509,                 1.2487,                 0.7677,                0.59522,                0.68163,                0.39409,                 1.6008,                 1.3073,                 1.8651,             0.00068694,             0.00068694,             0.00068694
                     93,                 1.0675,                0.95456,                  1.285,                0.73577,                0.61983,                0.70274,                0.39953,                 1.6359,                 1.3797,                 1.8995,             0.00068075,             0.00068075,             0.00068075
                     94,                 1.0525,                0.91742,                 1.2553,                0.81749,                0.59325,                0.70813,                0.41909,                 1.5721,                 1.2665,                 1.8464,             0.00067456,             0.00067456,             0.00067456
                     95,                 1.0754,                0.93531,                 1.2857,                0.66777,                0.68676,                0.69395,                0.39972,                 1.5838,                  1.241,                 1.8403,             0.00066838,             0.00066838,             0.00066838
                     96,                 1.0586,                0.89773,                  1.259,                0.75782,                  0.618,                0.69834,                0.39914,                 1.6064,                 1.2923,                 1.8882,             0.00066219,             0.00066219,             0.00066219
                     97,                 1.0654,                0.88639,                 1.2528,                  0.804,                0.60505,                0.70526,                0.40205,                 1.6137,                 1.2994,                 1.8762,               0.000656,               0.000656,               0.000656
                     98,                 1.0223,                0.86637,                 1.2325,                0.76217,                0.63401,                0.70546,                0.42062,                 1.5859,                 1.2384,                 1.8584,             0.00064981,             0.00064981,             0.00064981
                     99,                   1.04,                0.87571,                 1.2479,                0.80264,                0.65239,                0.73162,                0.43275,                 1.5879,                 1.2609,                 1.8529,             0.00064362,             0.00064362,             0.00064362
                    100,                 1.0229,                0.87434,                 1.2435,                0.74815,                0.64143,                0.71036,                0.41698,                 1.5826,                 1.3084,                 1.8505,             0.00063744,             0.00063744,             0.00063744
                    101,                 1.0387,                0.85473,                 1.2473,                0.79318,                  0.615,                0.72061,                0.42186,                 1.5631,                 1.2219,                 1.8373,             0.00063125,             0.00063125,             0.00063125
                    102,                 1.0331,                0.88284,                 1.2501,                0.77066,                0.65008,                0.72533,                0.42813,                 1.5824,                 1.2413,                 1.8762,             0.00062506,             0.00062506,             0.00062506
                    103,                 1.0277,                0.86184,                 1.2584,                0.82312,                0.67073,                0.74446,                 0.4308,                  1.607,                 1.1907,                 1.9069,             0.00061887,             0.00061887,             0.00061887
                    104,                 1.0195,                 0.8563,                 1.2396,                0.81006,                 0.6546,                0.73798,                0.43117,                 1.5616,                 1.1974,                 1.8384,             0.00061269,             0.00061269,             0.00061269
                    105,                 1.0565,                0.85759,                 1.2521,                0.74034,                0.63271,                0.72889,                0.42133,                  1.559,                 1.2694,                 1.8214,              0.0006065,              0.0006065,              0.0006065
                    106,                 1.0042,                0.82722,                 1.2179,                0.76341,                0.65793,                0.74046,                0.43935,                 1.5194,                 1.1514,                 1.8041,             0.00060031,             0.00060031,             0.00060031
                    107,                 0.9572,                0.78732,                  1.187,                0.81815,                0.66498,                 0.7512,                0.44283,                 1.5111,                 1.1772,                 1.7936,             0.00059413,             0.00059413,             0.00059413
                    108,                0.98795,                0.80191,                 1.2024,                0.77805,                0.67155,                0.75183,                0.44132,                  1.503,                 1.2456,                 1.7761,             0.00058794,             0.00058794,             0.00058794
                    109,                0.95907,                0.80209,                 1.1915,                0.82529,                0.69168,                0.76828,                0.46552,                 1.5052,                 1.1563,                 1.7951,             0.00058175,             0.00058175,             0.00058175
                    110,                0.96162,                0.79705,                   1.18,                0.85769,                0.65406,                0.75967,                0.45491,                  1.556,                 1.1957,                 1.8523,             0.00057556,             0.00057556,             0.00057556
                    111,                0.95243,                0.78628,                 1.1904,                0.73248,                 0.6747,                0.74597,                0.44665,                 1.5155,                 1.1789,                 1.8013,             0.00056938,             0.00056938,             0.00056938
                    112,                0.98195,                0.80928,                 1.2098,                0.83313,                0.67103,                0.75557,                0.46086,                  1.466,                 1.1567,                 1.7488,             0.00056319,             0.00056319,             0.00056319
                    113,                0.92936,                0.74948,                 1.1695,                0.83495,                 0.7122,                0.77322,                0.46873,                 1.4795,                 1.0936,                 1.7803,               0.000557,               0.000557,               0.000557
                    114,                0.96341,                0.78855,                 1.1847,                 0.8029,                0.68765,                0.76745,                0.47351,                 1.4586,                 1.1558,                 1.7625,             0.00055081,             0.00055081,             0.00055081
                    115,                0.95343,                0.78415,                 1.1861,                0.84951,                0.69957,                0.78036,                0.46528,                 1.4999,                 1.1397,                 1.8061,             0.00054463,             0.00054463,             0.00054463
                    116,                0.93331,                 0.7694,                 1.1741,                0.82105,                 0.6877,                0.76115,                0.46098,                 1.5081,                  1.155,                 1.8176,             0.00053844,             0.00053844,             0.00053844
                    117,                0.91758,                0.74729,                 1.1671,                0.76507,                0.68179,                0.74096,                0.44855,                 1.5008,                 1.2211,                 1.8124,             0.00053225,             0.00053225,             0.00053225
                    118,                 0.9048,                0.74781,                  1.153,                0.81041,                0.66593,                0.73684,                0.45115,                 1.4674,                 1.1861,                 1.7817,             0.00052606,             0.00052606,             0.00052606
                    119,                0.94002,                0.78795,                 1.1725,                 0.7887,                0.67573,                0.74149,                0.44609,                 1.5147,                 1.1513,                 1.8362,             0.00051988,             0.00051988,             0.00051988
                    120,                0.90189,                0.75696,                 1.1586,                0.85224,                0.67879,                0.77172,                0.48268,                 1.4433,                 1.0684,                 1.7785,             0.00051369,             0.00051369,             0.00051369
                    121,                0.88959,                0.70939,                 1.1455,                0.76916,                0.69584,                 0.7639,                0.48161,                 1.4349,                  1.169,                 1.7432,              0.0005075,              0.0005075,              0.0005075
                    122,                0.91523,                0.73076,                 1.1467,                 0.8353,                0.64658,                0.73792,                0.47325,                 1.4175,                 1.2247,                 1.7048,             0.00050131,             0.00050131,             0.00050131
                    123,                0.94227,                0.74214,                 1.1698,                0.82086,                0.68324,                 0.7491,                0.46941,                 1.4915,                 1.2147,                 1.7659,             0.00049513,             0.00049513,             0.00049513
                    124,                0.89273,                0.72629,                 1.1478,                0.80925,                0.68752,                0.75856,                0.47747,                 1.4696,                 1.1591,                 1.7787,             0.00048894,             0.00048894,             0.00048894
                    125,                0.87026,                0.69738,                  1.128,                0.75667,                0.71402,                0.74281,                0.46853,                 1.4543,                 1.1644,                 1.7562,             0.00048275,             0.00048275,             0.00048275
                    126,                0.89406,                0.71699,                 1.1381,                0.84233,                0.66762,                0.74902,                0.47245,                 1.4309,                 1.1947,                 1.7525,             0.00047656,             0.00047656,             0.00047656
                    127,                0.86715,                0.69562,                 1.1235,                0.81611,                 0.6934,                0.74613,                0.46584,                 1.4335,                 1.1443,                 1.7488,             0.00047038,             0.00047038,             0.00047038
                    128,                0.82937,                0.66302,                  1.108,                 0.8236,                0.69631,                0.74503,                0.47524,                 1.4285,                 1.1836,                 1.7546,             0.00046419,             0.00046419,             0.00046419
                    129,                0.82958,                0.66855,                 1.1139,                0.82791,                0.69554,                0.73735,                0.46102,                 1.4419,                 1.2575,                 1.7698,               0.000458,               0.000458,               0.000458
                    130,                0.87096,                0.68707,                 1.1338,                0.82939,                0.68476,                0.74747,                0.46662,                 1.4317,                 1.1632,                 1.7654,             0.00045181,             0.00045181,             0.00045181
                    131,                0.85014,                0.67429,                 1.1272,                0.84115,                0.67227,                0.76342,                0.48354,                 1.4355,                 1.1484,                 1.7675,             0.00044563,             0.00044563,             0.00044563
                    132,                0.82579,                0.66303,                 1.1125,                0.82867,                0.69292,                0.76775,                0.48176,                 1.4277,                 1.1594,                  1.765,             0.00043944,             0.00043944,             0.00043944
                    133,                0.84356,                0.68556,                 1.1354,                0.81567,                0.66858,                 0.7427,                 0.4653,                 1.4467,                 1.2292,                 1.7683,             0.00043325,             0.00043325,             0.00043325
                    134,                0.83591,                0.67986,                 1.1057,                0.82183,                0.71386,                0.75969,                0.48121,                 1.4254,                 1.1808,                 1.7732,             0.00042706,             0.00042706,             0.00042706
                    135,                0.81484,                 0.6523,                 1.0936,                  0.848,                0.70167,                0.76269,                0.47844,                 1.4038,                 1.1114,                 1.7554,             0.00042087,             0.00042087,             0.00042087
                    136,                 0.8353,                 0.6621,                 1.0996,                0.83552,                0.72617,                0.78983,                0.49734,                 1.4213,                  1.078,                 1.7656,             0.00041469,             0.00041469,             0.00041469
                    137,                0.83558,                0.65039,                 1.1061,                0.82468,                0.71768,                0.77971,                0.48726,                 1.4214,                 1.1742,                 1.7503,              0.0004085,              0.0004085,              0.0004085
                    138,                0.82305,                0.65053,                 1.0991,                0.83385,                0.70814,                0.75213,                0.47243,                 1.4038,                 1.1543,                  1.709,             0.00040231,             0.00040231,             0.00040231
                    139,                0.81712,                0.66324,                  1.108,                0.80018,                0.71388,                0.75892,                0.46941,                  1.415,                 1.1521,                 1.7237,             0.00039613,             0.00039613,             0.00039613
                    140,                0.79898,                0.62136,                  1.092,                0.86428,                 0.6874,                0.76723,                0.49378,                 1.3991,                  1.106,                 1.7152,             0.00038994,             0.00038994,             0.00038994
                    141,                0.80365,                0.64375,                 1.0879,                0.81505,                0.70157,                0.76304,                0.49041,                 1.4213,                 1.1121,                 1.7928,             0.00038375,             0.00038375,             0.00038375
                    142,                0.80205,                0.63996,                 1.0982,                0.85526,                0.69416,                0.77709,                0.50108,                 1.3951,                 1.0851,                  1.745,             0.00037756,             0.00037756,             0.00037756
                    143,                 0.7942,                0.63719,                 1.0858,                0.82867,                0.69293,                0.76694,                0.50993,                 1.3776,                 1.1289,                 1.7325,             0.00037138,             0.00037138,             0.00037138
                    144,                0.79299,                0.64167,                 1.0918,                0.83703,                0.67145,                0.77024,                0.49383,                  1.416,                 1.1836,                 1.7631,             0.00036519,             0.00036519,             0.00036519
                    145,                0.79332,                0.61502,                 1.0835,                0.84159,                0.73118,                0.79435,                0.51033,                 1.4021,                 1.0854,                 1.7459,               0.000359,               0.000359,               0.000359
                    146,                0.78985,                0.62206,                 1.0862,                0.80165,                0.72323,                0.78143,                0.51066,                 1.3931,                 1.1227,                  1.722,             0.00035281,             0.00035281,             0.00035281
                    147,                0.76579,                0.61073,                 1.0785,                0.85216,                0.67472,                 0.7672,                0.49409,                 1.4182,                 1.1822,                 1.7641,             0.00034663,             0.00034663,             0.00034663
                    148,                0.78741,                0.62349,                 1.0835,                0.86877,                 0.6991,                0.78409,                0.50653,                 1.3917,                 1.1089,                 1.7507,             0.00034044,             0.00034044,             0.00034044
                    149,                0.79834,                0.61923,                 1.0826,                0.88498,                 0.6827,                0.77606,                0.50342,                 1.3984,                 1.0905,                  1.731,             0.00033425,             0.00033425,             0.00033425
                    150,                0.76745,                0.60629,                 1.0727,                0.86905,                0.70912,                0.77409,                0.49291,                 1.4037,                 1.0769,                 1.7902,             0.00032806,             0.00032806,             0.00032806
                    151,                0.76651,                0.60324,                 1.0717,                0.86978,                0.72829,                0.79504,                0.50856,                 1.4078,                  1.102,                 1.7747,             0.00032188,             0.00032188,             0.00032188
                    152,                0.75454,                0.59588,                 1.0639,                0.81583,                0.71527,                0.77298,                0.50265,                 1.3858,                  1.194,                 1.7436,             0.00031569,             0.00031569,             0.00031569
