                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5654,                 4.4959,                 2.4288,                0.03306,                0.05487,                0.01024,                0.00272,                 2.6236,                 22.071,                  2.814,             0.00040923,             0.00040923,             0.00040923
                      2,                 2.3037,                 3.4416,                 2.2068,                0.06463,                0.15523,                0.03881,                0.01301,                 2.5304,                 7.1691,                 2.7259,              0.0008218,              0.0008218,              0.0008218
                      3,                 2.2867,                 3.3149,                 2.2855,                0.13581,                0.12759,                0.05293,                0.01563,                 2.6382,                 3.8917,                 3.3389,              0.0012303,              0.0012303,              0.0012303
                      4,                 2.3132,                  3.219,                 2.2912,                0.11303,                0.13216,                0.06446,                0.01788,                 2.4845,                 3.4121,                 2.5593,              0.0012314,              0.0012314,              0.0012314
                      5,                 2.2837,                 3.1762,                  2.272,                0.13316,                0.16302,                 0.0713,                0.02447,                 2.3359,                  3.282,                 2.4998,              0.0012252,              0.0012252,              0.0012252
                      6,                 2.2437,                 3.0429,                 2.2374,                0.19315,                0.21388,                0.09106,                0.02811,                 2.4387,                 3.0457,                 2.4832,              0.0012191,              0.0012191,              0.0012191
                      7,                 2.2106,                 2.9758,                 2.1852,                0.14786,                 0.2389,                0.09694,                0.03417,                 2.3706,                 3.0395,                 2.4388,              0.0012129,              0.0012129,              0.0012129
                      8,                 2.2041,                 2.9253,                 2.1758,                0.13583,                0.21103,                0.08029,                 0.0241,                 2.3577,                 3.0281,                 2.3984,              0.0012067,              0.0012067,              0.0012067
                      9,                 2.2168,                 2.8905,                 2.1616,                0.19061,                 0.1865,                0.10739,                0.02994,                  2.326,                 2.9648,                 2.4073,              0.0012005,              0.0012005,              0.0012005
                     10,                 2.1325,                 2.8223,                 2.1202,                0.15935,                0.24584,                0.12827,                0.04326,                 2.3304,                 2.7775,                 2.4055,              0.0011943,              0.0011943,              0.0011943
                     11,                 2.0967,                 2.8323,                 2.1304,                0.32569,                0.29528,                 0.1365,                0.04847,                 2.2475,                 2.6826,                 2.3442,              0.0011881,              0.0011881,              0.0011881
                     12,                 2.1096,                 2.7713,                 2.1197,                 0.1607,                0.27558,                0.11234,                 0.0378,                  2.194,                 2.8558,                 2.3735,              0.0011819,              0.0011819,              0.0011819
                     13,                 2.0532,                 2.7422,                 2.0678,                0.24414,                 0.3071,                  0.153,                0.05733,                 2.2274,                  2.584,                 2.3309,              0.0011757,              0.0011757,              0.0011757
                     14,                 2.0598,                 2.6885,                 2.0438,                0.20557,                0.32354,                 0.1493,                0.05225,                 2.2529,                 2.7513,                 2.4472,              0.0011696,              0.0011696,              0.0011696
                     15,                 2.0668,                 2.6653,                 2.0379,                0.41124,                 0.2376,                0.12786,                0.04304,                 2.2994,                 2.7838,                 2.4104,              0.0011634,              0.0011634,              0.0011634
                     16,                 2.0267,                 2.6545,                 2.0322,                0.18781,                0.30919,                0.14056,                0.04949,                 2.2311,                 2.6936,                  2.451,              0.0011572,              0.0011572,              0.0011572
                     17,                 2.0087,                 2.6472,                 2.0297,                0.37942,                0.29608,                0.14515,                0.05563,                 2.1941,                 2.5883,                 2.3021,               0.001151,               0.001151,               0.001151
                     18,                 1.9845,                 2.5267,                  2.008,                0.20845,                0.34119,                0.16525,                0.05832,                 2.3479,                 2.6742,                 2.4875,              0.0011448,              0.0011448,              0.0011448
                     19,                 1.9817,                 2.5698,                  1.996,                0.39844,                0.33411,                0.15628,                0.05829,                 2.2237,                 2.5443,                 2.3664,              0.0011386,              0.0011386,              0.0011386
                     20,                 1.9732,                 2.5124,                 1.9768,                0.15613,                0.33518,                0.13513,                0.04807,                 2.1673,                 2.5874,                  2.329,              0.0011324,              0.0011324,              0.0011324
                     21,                 1.8977,                 2.4243,                 1.9243,                0.18216,                0.39448,                0.14451,                0.05216,                 2.2277,                 2.4829,                 2.3476,              0.0011263,              0.0011263,              0.0011263
                     22,                 1.9337,                 2.4217,                 1.9593,                0.20154,                0.35252,                0.15553,                0.05702,                 2.2335,                 2.5057,                 2.3209,              0.0011201,              0.0011201,              0.0011201
                     23,                 1.8967,                 2.3901,                 1.9287,                0.18217,                0.35519,                0.13829,                0.05557,                 2.2095,                 2.5919,                  2.323,              0.0011139,              0.0011139,              0.0011139
                     24,                 1.9145,                 2.4608,                 1.9587,                0.21631,                0.34452,                0.19636,                0.07758,                 2.2143,                 2.6026,                 2.4313,              0.0011077,              0.0011077,              0.0011077
                     25,                 1.8566,                 2.2858,                 1.8855,                0.21045,                0.37059,                 0.1918,                0.07931,                 2.2398,                 2.4384,                 2.3542,              0.0011015,              0.0011015,              0.0011015
                     26,                 1.8665,                  2.377,                 1.9269,                0.20043,                 0.3816,                0.18198,                0.06935,                  2.144,                 2.4407,                 2.2951,              0.0010953,              0.0010953,              0.0010953
                     27,                 1.8371,                 2.3218,                 1.8876,                0.26109,                0.40625,                 0.2341,                0.10456,                 2.0595,                 2.3272,                 2.2102,              0.0010891,              0.0010891,              0.0010891
                     28,                 1.7872,                 2.2548,                 1.8133,                 0.2326,                0.37928,                0.20876,                0.08793,                 2.1631,                 2.3557,                 2.3466,              0.0010829,              0.0010829,              0.0010829
                     29,                 1.8098,                 2.2555,                 1.8714,                 0.2344,                0.36808,                0.20455,                0.08858,                 2.1089,                 2.3028,                 2.2205,              0.0010768,              0.0010768,              0.0010768
                     30,                 1.7616,                 2.2136,                 1.8032,                0.25281,                 0.4498,                0.22184,                0.09026,                 2.1434,                 2.2454,                 2.2767,              0.0010706,              0.0010706,              0.0010706
                     31,                 1.7802,                 2.1498,                 1.8391,                  0.265,                0.43718,                0.23481,                0.10435,                 2.0879,                 2.2771,                 2.2675,              0.0010644,              0.0010644,              0.0010644
                     32,                 1.7416,                 2.1328,                 1.8137,                0.25888,                0.43077,                0.22801,                0.09218,                 2.0621,                 2.2288,                  2.225,              0.0010582,              0.0010582,              0.0010582
                     33,                  1.708,                 2.0617,                 1.7724,                0.27758,                0.43049,                 0.2639,                0.11803,                 2.0391,                 2.1552,                 2.1714,               0.001052,               0.001052,               0.001052
                     34,                 1.7002,                  2.055,                 1.7645,                0.25458,                0.45423,                0.24224,                0.10634,                 2.0768,                 2.2144,                 2.2422,              0.0010458,              0.0010458,              0.0010458
                     35,                 1.7266,                 2.0934,                 1.7722,                0.26426,                0.44071,                0.23756,                0.09635,                 2.0757,                  2.214,                 2.2679,              0.0010396,              0.0010396,              0.0010396
                     36,                 1.6602,                 2.0653,                 1.7643,                0.24846,                 0.4108,                0.25386,                0.10922,                 2.0636,                 2.2374,                 2.2343,              0.0010334,              0.0010334,              0.0010334
                     37,                 1.6543,                 2.0036,                 1.7436,                0.24036,                0.42703,                0.24689,                0.10858,                 2.0336,                  2.165,                 2.2279,              0.0010273,              0.0010273,              0.0010273
                     38,                 1.6319,                 2.0035,                 1.7207,                0.26475,                0.45486,                0.26499,                0.11193,                 2.0454,                 2.0849,                 2.2291,              0.0010211,              0.0010211,              0.0010211
                     39,                 1.6175,                 1.9374,                 1.6926,                0.27721,                0.48997,                0.29555,                0.13274,                 2.0032,                 2.0368,                 2.1974,              0.0010149,              0.0010149,              0.0010149
                     40,                 1.6079,                 1.9045,                  1.701,                0.31009,                0.44285,                0.30243,                0.13515,                 2.0727,                 2.0743,                 2.1923,              0.0010087,              0.0010087,              0.0010087
                     41,                 1.6168,                 1.8836,                 1.7061,                0.34436,                0.47072,                0.31975,                 0.1471,                 2.0145,                 2.0758,                 2.2199,              0.0010025,              0.0010025,              0.0010025
                     42,                 1.5485,                 1.8024,                 1.6551,                0.31366,                0.44173,                 0.3273,                0.15437,                 1.9484,                 2.0337,                 2.1808,             0.00099631,             0.00099631,             0.00099631
                     43,                 1.4909,                 1.7623,                  1.609,                0.31554,                0.47177,                0.33693,                0.15826,                 2.0287,                 2.0688,                 2.2083,             0.00099013,             0.00099013,             0.00099013
                     44,                 1.4974,                 1.7498,                 1.6151,                0.31708,                0.41172,                 0.3066,                0.14047,                 2.0709,                 2.0031,                 2.2664,             0.00098394,             0.00098394,             0.00098394
                     45,                 1.5912,                 1.8075,                 1.6769,                0.34753,                0.44207,                0.34932,                0.15518,                 2.0636,                 2.0719,                 2.2429,             0.00097775,             0.00097775,             0.00097775
                     46,                 1.5188,                 1.7415,                 1.6176,                0.34898,                0.46589,                0.36429,                0.18167,                 1.9146,                  1.902,                 2.1412,             0.00097156,             0.00097156,             0.00097156
                     47,                 1.5058,                 1.7035,                 1.6226,                0.34861,                0.45751,                0.36982,                0.17346,                 1.9975,                 1.9217,                 2.2335,             0.00096537,             0.00096537,             0.00096537
                     48,                 1.5236,                 1.6794,                 1.6208,                0.34369,                0.48911,                0.38052,                0.18131,                 1.9849,                 1.9191,                 2.1955,             0.00095919,             0.00095919,             0.00095919
                     49,                 1.4756,                 1.6599,                 1.5898,                0.46156,                0.48755,                0.44176,                0.21292,                 1.9101,                 1.8453,                 2.1119,               0.000953,               0.000953,               0.000953
                     50,                 1.4411,                 1.6106,                 1.5581,                0.44609,                0.46846,                0.44159,                0.22618,                 1.8679,                 1.8637,                 2.0886,             0.00094681,             0.00094681,             0.00094681
                     51,                 1.4676,                 1.6481,                 1.5947,                0.41719,                0.48463,                0.42027,                0.20444,                 1.9031,                 1.8512,                 2.1466,             0.00094062,             0.00094062,             0.00094062
                     52,                 1.4424,                 1.6061,                 1.5749,                0.44684,                0.44286,                0.40158,                0.20634,                 1.9022,                 1.9429,                 2.1109,             0.00093444,             0.00093444,             0.00093444
                     53,                 1.4095,                 1.5426,                 1.5302,                0.46471,                0.46991,                0.43137,                0.21531,                 1.9162,                 1.9475,                 2.1091,             0.00092825,             0.00092825,             0.00092825
                     54,                 1.3854,                 1.5305,                 1.5074,                0.53861,                0.49187,                0.47747,                0.24187,                 1.8824,                 1.6698,                  2.121,             0.00092206,             0.00092206,             0.00092206
                     55,                 1.3705,                  1.447,                 1.4934,                0.49531,                0.42708,                0.46157,                0.22802,                 1.9162,                  1.804,                 2.1838,             0.00091588,             0.00091588,             0.00091588
                     56,                  1.378,                 1.4606,                 1.5133,                0.53065,                0.53422,                0.51081,                0.26795,                 1.8222,                  1.606,                  2.044,             0.00090969,             0.00090969,             0.00090969
                     57,                 1.3276,                  1.428,                 1.4818,                0.51239,                0.51384,                0.53234,                0.28088,                 1.7529,                 1.6805,                 2.0189,              0.0009035,              0.0009035,              0.0009035
                     58,                 1.3067,                 1.3703,                 1.4533,                0.46653,                0.52581,                0.50068,                0.26054,                 1.8111,                 1.7133,                 2.0591,             0.00089731,             0.00089731,             0.00089731
                     59,                 1.3156,                 1.3573,                 1.4625,                0.46694,                0.56929,                0.49791,                0.26639,                 1.7842,                 1.6504,                 2.0662,             0.00089112,             0.00089112,             0.00089112
                     60,                 1.3066,                 1.3595,                 1.4613,                0.57725,                0.50036,                0.51088,                0.25143,                 1.9204,                 1.7259,                 2.1418,             0.00088494,             0.00088494,             0.00088494
                     61,                  1.301,                 1.3195,                 1.4517,                0.59908,                0.43514,                0.50874,                0.25889,                 1.8478,                 1.7587,                 2.0993,             0.00087875,             0.00087875,             0.00087875
                     62,                 1.3259,                 1.3337,                 1.4732,                0.61204,                 0.5046,                0.54061,                0.29124,                 1.8093,                 1.6555,                 2.0484,             0.00087256,             0.00087256,             0.00087256
                     63,                  1.331,                 1.2998,                 1.4637,                0.61064,                0.50663,                 0.5495,                0.29045,                 1.7759,                 1.6222,                 2.0022,             0.00086637,             0.00086637,             0.00086637
                     64,                 1.3582,                 1.3621,                 1.4937,                0.49123,                0.53082,                0.50135,                0.25909,                 1.7905,                  1.645,                 2.0182,             0.00086019,             0.00086019,             0.00086019
                     65,                 1.3997,                 1.3304,                 1.5046,                0.58376,                0.50307,                0.54579,                0.28178,                 1.8095,                 1.6527,                  2.043,               0.000854,               0.000854,               0.000854
                     66,                 1.2283,                 1.1713,                 1.3998,                0.66032,                0.52846,                0.58324,                0.30978,                 1.7583,                  1.569,                 1.9792,             0.00084781,             0.00084781,             0.00084781
                     67,                 1.2592,                 1.2339,                 1.4193,                0.62569,                0.51646,                0.58089,                0.31696,                  1.722,                 1.5879,                 1.9821,             0.00084162,             0.00084162,             0.00084162
                     68,                 1.2563,                 1.2318,                 1.4023,                0.67408,                0.54289,                0.60601,                0.33306,                 1.7353,                 1.4712,                 1.9752,             0.00083544,             0.00083544,             0.00083544
